Company/Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount($),Stage
EventBeep,2019,Pune,Education,An inclusive community where students are inspired and empowered to reach their full potential,"Saurabh Mangrulkar, Rakhi Pal, Venkatesh Prasad","SucSEED  Indovation Fund, Uincept, Palimala Ventures",3500000.0,Unknown
GTM Buddy,2020,Hyderabad,Technology,Just-in-time Sales Enablement Platform,"Sreedhar Peddineni, Santa Thounaojam, Sundar Vellaichamy, Chandramani Tiwary",Stellaris Venture Partners,2000000.0,Seed
Gobbly,2019,Gurugram,Retail,A 24x7 automated retail store filled with daily essentials.,"Ankur Agarwal, Amit Ahuja","Anicut Angel Fund, Sauce.VC",900000.0,Pre-Series
HexaHealth,2019,Mumbai,Healthcare,H2D is the most trusted online platform that connects the finest experts with people aspiring to achieve their Health Goals in a holistic way,"Vikas Chauhan, Ankur Gigras, Dr Aman Priya Khanna","Omidyar Network India, Chiratae Ventures",4500000.0,Seed
Eupheus Learning,2017,New Delhi,Education,Offer pedagogically differentiated technology driven solutions that lead to critical thinking and achievement of higher learning outcomes,"Sarvesh Shrivastava, Ved Prakash Khatri, Amit Kapoor",Lightrock India,10000000.0,Series C
Easiloan,2020,Mumbai,Finance,"A Fintech startup, offering fast & easy digital processing of Home Loans in a completely reimagined and delightful way.","Pramod Kathuria, Vishal Dawda",Tomorrow Capital,1000000.0,Unknown
Anar,2019,Mumbai,Technology,Anar Business Community App is a platform where businesses can create their free profile and grow their business network all over India.,"Nishank Jain, Sanjay Bhat","Elevation Capital, Accel India",6200000.0,Seed
Shadez,2019,Mumbai,Services,"Smart painting process, latest automatic tools and professional painters make the process faster than any other conventional process of painting .","Adarsh Anand, Amit Tiwari",Inflection Point Ventures,200000.0,Pre-Series
Vahan,2016,Bangalore,Technology,"Help companies such as Zomato, Swiggy, Flipkart, Uber, Shadowfax etc. hire blue-collar workers and are on track to become India's largest recruitment platform.",Madhav Krishna,Khosla Ventures,8000000.0,Series A
MPL,2018,Bangalore,Sports,"Mobile Premier League (MPL), is India’s largest eSports and mobile gaming platform, with over 50+ games on its app on iOS and Android, and over 60 million users in India.","Sai Srinivas Kiran GV, Shubh Malhotra",Legatum Capital,3500000.0,Later Stage
Tinkerly,2015,Jaipur,Education,"A STEM learning online-offline solutions provider that makes STEM learning & Coding fun and interesting with superior pedagogy, blended learning, and play-based curriculum.","O.P. Godara, Vivek Pathak, Kapil Arya, Sharad Bansal",Navneet Education,800000.0,Unknown
Godamwale,2016,Mumbai,Transportation & Logistics,Godamwale is tech enabled integrated logistics company providing end to end supply chain solutions.,"Basant Kumar, Vivek Tiwari, Ranbir Nandan",1000000	#REF!,3500000.0,Unknown
